,lat,lon
917,60.41,5.64
918,60.41,5.81
919,60.41,5.98
920,60.41,6.15
921,60.41,6.32
922,60.41,6.49
923,60.41,6.66
924,60.41,6.82
925,60.41,6.99
926,60.41,7.16
927,60.41,7.33
928,60.41,7.5
929,60.41,7.67
930,60.41,7.83
931,60.41,8.0
932,60.41,8.17
933,60.41,8.34
934,60.41,8.51
935,60.41,8.68
936,60.41,8.84
937,60.41,9.01
938,60.41,9.18
939,60.41,9.35
940,60.41,9.52
941,60.41,9.69
942,60.41,9.85
943,60.41,10.02
944,60.41,10.19
945,60.41,10.36
946,60.41,10.53
947,60.41,10.7
948,60.41,10.87
949,60.41,11.03
950,60.41,11.2
951,60.41,11.37
952,60.41,11.54
953,60.41,11.71
954,60.41,11.88
955,60.41,12.04
956,60.41,12.21
957,60.41,12.38
958,60.41,12.55
959,60.5,4.97
960,60.5,5.14
961,60.5,5.31
962,60.5,5.48
963,60.5,5.64
964,60.5,5.81
965,60.5,5.98
966,60.5,6.15
967,60.5,6.32
968,60.5,6.49
969,60.5,6.66
970,60.5,6.82
971,60.5,6.99
972,60.5,7.16
973,60.5,7.33
974,60.5,7.5
975,60.5,7.67
976,60.5,7.83
977,60.5,8.0
978,60.5,8.17
979,60.5,8.34
980,60.5,8.51
981,60.5,8.68
982,60.5,8.84
983,60.5,9.01
984,60.5,9.18
985,60.5,9.35
986,60.5,9.52
987,60.5,9.69
988,60.5,9.85
989,60.5,10.02
990,60.5,10.19
991,60.5,10.36
992,60.5,10.53
993,60.5,10.7
994,60.5,10.87
995,60.5,11.03
996,60.5,11.2
997,60.5,11.37
998,60.5,11.54
999,60.5,11.71
1000,60.5,11.88
1001,60.5,12.04
1002,60.5,12.21
1003,60.5,12.38
1004,60.58,4.97
1005,60.58,5.14
1006,60.58,5.31
1007,60.58,5.48
1008,60.58,5.64
1009,60.58,5.81
1010,60.58,5.98
1011,60.58,6.15
1012,60.58,6.32
1013,60.58,6.49
1014,60.58,6.66
1015,60.58,6.82
1016,60.58,6.99
1017,60.58,7.16
1018,60.58,7.33
1019,60.58,7.5
1020,60.58,7.67
1021,60.58,7.83
1022,60.58,8.0
1023,60.58,8.17
1024,60.58,8.34
1025,60.58,8.51
1026,60.58,8.68
1027,60.58,8.84
1028,60.58,9.01
1029,60.58,9.18
1030,60.58,9.35
1031,60.58,9.52
1032,60.58,9.69
1033,60.58,9.85
1034,60.58,10.02
1035,60.58,10.19
1036,60.58,10.36
1037,60.58,10.53
1038,60.58,10.7
1039,60.58,10.87
1040,60.58,11.03
1041,60.58,11.2
1042,60.58,11.37
1043,60.58,11.54
1044,60.58,11.71
1045,60.58,11.88
1046,60.58,12.04
1047,60.58,12.21
1048,60.58,12.38
1049,60.66,4.97
1050,60.66,5.14
1051,60.66,5.31
1052,60.66,5.48
1053,60.66,5.64
1054,60.66,5.81
1055,60.66,5.98
1056,60.66,6.15
1057,60.66,6.32
1058,60.66,6.49
1059,60.66,6.66
1060,60.66,6.82
1061,60.66,6.99
1062,60.66,7.16
1063,60.66,7.33
1064,60.66,7.5
1065,60.66,7.67
1066,60.66,7.83
1067,60.66,8.0
1068,60.66,8.17
1069,60.66,8.34
1070,60.66,8.51
1071,60.66,8.68
1072,60.66,8.84
1073,60.66,9.01
1074,60.66,9.18
1075,60.66,9.35
1076,60.66,9.52
1077,60.66,9.69
1078,60.66,9.85
1079,60.66,10.02
1080,60.66,10.19
1081,60.66,10.36
1082,60.66,10.53
1083,60.66,10.7
1084,60.66,10.87
1085,60.66,11.03
1086,60.66,11.2
1087,60.66,11.37
1088,60.66,11.54
1089,60.66,11.71
1090,60.66,11.88
1091,60.66,12.04
1092,60.66,12.21
1093,60.66,12.38
1094,60.74,4.97
1095,60.74,5.14
1096,60.74,5.31
1097,60.74,5.48
1098,60.74,5.64
1099,60.74,5.81
1100,60.74,5.98
1101,60.74,6.15
1102,60.74,6.32
1103,60.74,6.49
1104,60.74,6.66
1105,60.74,6.82
1106,60.74,6.99
1107,60.74,7.16
1108,60.74,7.33
1109,60.74,7.5
1110,60.74,7.67
1111,60.74,7.83
1112,60.74,8.0
1113,60.74,8.17
1114,60.74,8.34
1115,60.74,8.51
1116,60.74,8.68
1117,60.74,8.84
1118,60.74,9.01
1119,60.74,9.18
1120,60.74,9.35
1121,60.74,9.52
1122,60.74,9.69
1123,60.74,9.85
1124,60.74,10.02
1125,60.74,10.19
1126,60.74,10.36
1127,60.74,10.53
1128,60.74,10.7
1129,60.74,10.87
1130,60.74,11.03
1131,60.74,11.2
1132,60.74,11.37
1133,60.74,11.54
1134,60.74,11.71
1135,60.74,11.88
1136,60.74,12.04
1137,60.74,12.21
1138,60.74,12.38
1139,60.82,4.97
1140,60.82,5.14
1141,60.82,5.31
1142,60.82,5.48
1143,60.82,5.64
1144,60.82,5.81
1145,60.82,5.98
1146,60.82,6.15
1147,60.82,6.32
1148,60.82,6.49
1149,60.82,6.66
1150,60.82,6.82
1151,60.82,6.99
1152,60.82,7.16
1153,60.82,7.33
1154,60.82,7.5
1155,60.82,7.67
1156,60.82,7.83
1157,60.82,8.0
1158,60.82,8.17
1159,60.82,8.34
1160,60.82,8.51
1161,60.82,8.68
1162,60.82,8.84
1163,60.82,9.01
1164,60.82,9.18
1165,60.82,9.35
1166,60.82,9.52
1167,60.82,9.69
1168,60.82,9.85
1169,60.82,10.02
1170,60.82,10.19
1171,60.82,10.36
1172,60.82,10.53
1173,60.82,10.7
1174,60.82,10.87
1175,60.82,11.03
1176,60.82,11.2
1177,60.82,11.37
1178,60.82,11.54
1179,60.82,11.71
1180,60.82,11.88
1181,60.82,12.04
1182,60.82,12.21
1183,60.82,12.38
1184,60.9,4.8
1185,60.9,4.97
1186,60.9,5.14
1187,60.9,5.31
1188,60.9,5.48
1189,60.9,5.64
1190,60.9,5.81
1191,60.9,5.98
1192,60.9,6.15
1193,60.9,6.32
1194,60.9,6.49
