lat,lon,country
58.92,6.68,Norway
58.92,6.76,Norway
58.92,6.85,Norway
58.92,6.93,Norway
58.92,7.02,Norway
58.92,7.1,Norway
58.92,7.19,Norway
58.92,7.27,Norway
58.92,7.36,Norway
58.92,7.44,Norway
58.92,7.53,Norway
58.92,7.61,Norway
58.92,7.7,Norway
58.92,7.78,Norway
58.92,7.87,Norway
58.92,7.95,Norway
58.92,8.04,Norway
58.92,8.12,Norway
58.92,8.21,Norway
58.92,8.29,Norway
58.92,8.38,Norway
58.92,8.46,Norway
58.92,8.55,Norway
58.92,8.63,Norway
58.92,8.72,Norway
58.92,8.8,Norway
58.92,8.89,Norway
58.92,8.97,Norway
58.92,9.06,Norway
58.92,9.14,Norway
58.92,9.23,Norway
58.92,9.31,Norway
58.92,9.4,Norway
58.92,9.48,Norway
58.92,9.57,Norway
58.92,9.65,Norway
58.92,11.44,Norway
58.92,11.52,Norway
58.92,11.61,Norway
58.92,11.69,Norway
58.96,5.57,Norway
58.96,5.66,Norway
58.96,5.74,Norway
58.96,5.83,Norway
58.96,5.91,Norway
58.96,6.0,Norway
58.96,6.08,Norway
58.96,6.17,Norway
58.96,6.25,Norway
58.96,6.34,Norway
58.96,6.42,Norway
58.96,6.51,Norway
58.96,6.59,Norway
58.96,6.68,Norway
58.96,6.76,Norway
58.96,6.85,Norway
58.96,6.93,Norway
58.96,7.02,Norway
58.96,7.1,Norway
58.96,7.19,Norway
58.96,7.27,Norway
58.96,7.36,Norway
58.96,7.44,Norway
58.96,7.53,Norway
58.96,7.61,Norway
58.96,7.7,Norway
58.96,7.78,Norway
58.96,7.87,Norway
58.96,7.95,Norway
58.96,8.04,Norway
58.96,8.12,Norway
58.96,8.21,Norway
58.96,8.29,Norway
58.96,8.38,Norway
58.96,8.46,Norway
58.96,8.55,Norway
58.96,8.63,Norway
58.96,8.72,Norway
58.96,8.8,Norway
58.96,8.89,Norway
58.96,8.97,Norway
58.96,9.06,Norway
58.96,9.14,Norway
58.96,9.23,Norway
58.96,9.31,Norway
58.96,9.4,Norway
58.96,9.48,Norway
58.96,9.57,Norway
58.96,9.65,Norway
58.96,9.91,Norway
58.96,11.01,Norway
58.96,11.44,Norway
58.96,11.52,Norway
58.96,11.61,Norway
58.96,11.69,Norway
59.0,5.57,Norway
59.0,5.66,Norway
59.0,5.74,Norway
59.0,5.83,Norway
59.0,5.91,Norway
59.0,6.0,Norway
59.0,6.08,Norway
59.0,6.17,Norway
59.0,6.25,Norway
59.0,6.34,Norway
59.0,6.42,Norway
59.0,6.51,Norway
59.0,6.59,Norway
59.0,6.68,Norway
59.0,6.76,Norway
59.0,6.85,Norway
59.0,6.93,Norway
59.0,7.02,Norway
59.0,7.1,Norway
59.0,7.19,Norway
59.0,7.27,Norway
59.0,7.36,Norway
59.0,7.44,Norway
59.0,7.53,Norway
59.0,7.61,Norway
59.0,7.7,Norway
59.0,7.78,Norway
59.0,7.87,Norway
59.0,7.95,Norway
59.0,8.04,Norway
59.0,8.12,Norway
59.0,8.21,Norway
59.0,8.29,Norway
59.0,8.38,Norway
59.0,8.46,Norway
59.0,8.55,Norway
59.0,8.63,Norway
59.0,8.72,Norway
59.0,8.8,Norway
59.0,8.89,Norway
59.0,8.97,Norway
59.0,9.06,Norway
59.0,9.14,Norway
59.0,9.23,Norway
59.0,9.31,Norway
59.0,9.4,Norway
59.0,9.48,Norway
59.0,9.57,Norway
59.0,9.65,Norway
59.0,9.74,Norway
59.0,9.82,Norway
59.0,9.91,Norway
59.0,9.99,Norway
59.0,10.08,Norway
59.0,10.16,Norway
59.0,11.01,Norway
59.0,11.1,Norway
59.0,11.44,Norway
59.0,11.52,Norway
59.0,11.61,Norway
59.0,11.69,Norway
59.04,5.57,Norway
59.04,5.66,Norway
59.04,5.74,Norway
59.04,5.83,Norway
59.04,5.91,Norway
59.04,6.0,Norway
59.04,6.08,Norway
59.04,6.17,Norway
59.04,6.25,Norway
59.04,6.34,Norway
59.04,6.42,Norway
59.04,6.51,Norway
